#      WAVE        LUMINOSITY
       4187.0378       2.0656150
       4188.0021       2.0630503
       4188.9665       2.0811974
       4189.9311       2.0833758
       4190.8960       2.1181034
       4191.8611       2.1478040
       4192.8265       2.1729888
       4193.7920       2.1539573
       4194.7578       2.1165346
       4195.7238       2.1358153
       4196.6900       2.0843358
       4197.6564       2.0337698
       4198.6231       2.0443377
       4199.5899       2.0275754
       4200.5570       2.0234198
       4201.5244       2.0585644
       4202.4919       2.0349455
       4203.4597       2.0579630
       4204.4277       2.1347773
       4205.3959       2.1076923
       4206.3643       2.1038877
       4207.3330       2.1248761
       4208.3019       2.1351931
       4209.2710       2.1644538
       4210.2403       2.1442342
       4211.2099       2.1687988
       4212.1797       2.2216872
       4213.1497       2.2062276
       4214.1199       2.1470509
       4215.0903       2.1280627
       4216.0610       2.1265588
       4217.0319       2.1285050
       4218.0030       2.1416543
       4218.9744       2.1885201
       4219.9459       2.2235085
       4220.9177       2.2018701
       4221.8897       2.1834973
       4222.8620       2.1559747
       4223.8344       2.1046031
       4224.8071       2.0522437
       4225.7800       1.9527953
       4226.7532       1.9185828
       4227.7265       1.9830130
       4228.7001       1.9761061
       4229.6739       2.0635532
       4230.6479       2.2045373
       4231.6222       2.1872927
       4232.5967       2.1676090
       4233.5714       2.0943969
       4234.5463       2.0847793
       4235.5215       2.0822256
       4236.4968       2.0895766
       4237.4724       2.1216550
       4238.4483       2.1261540
       4239.4243       2.1097665
       4240.4006       2.0387583
       4241.3771       2.0364891
       4242.3538       2.1010966
       4243.3308       2.1881080
       4244.3079       2.1883799
       4245.2853       2.1333956
       4246.2630       2.1385037
       4247.2408       2.1335710
       4248.2189       2.1096259
       4249.1972       2.0837971
       4250.1757       2.0641582
       4251.1545       2.0689352
       4252.1335       2.0658256
       4253.1127       2.0673773
       4254.0921       2.0787592
       4255.0717       2.0853939
       4256.0516       2.0707078
       4257.0317       2.0988221
       4258.0121       2.1349377
       4258.9926       2.0577699
       4259.9734       2.0176314
       4260.9544       2.0124053
       4261.9356       2.0304399
       4262.9171       2.0778802
       4263.8988       2.0903013
       4264.8807       2.1524604
       4265.8628       2.1936988
       4266.8452       2.1516965
       4267.8278       2.0974975
       4268.8106       2.1009472
       4269.7936       2.0618289
       4270.7769       1.9495146
       4271.7604       1.9280194
       4272.7441       1.9269610
       4273.7281       1.9385699
       4274.7123       1.9615263
       4275.6967       1.9928953
       4276.6813       2.0007219
       4277.6661       2.0488364
       4278.6512       2.1177042
       4279.6365       2.1059188
       4280.6221       2.0749032
       4281.6078       2.0579428
       4282.5938       2.0430440
       4283.5800       2.0736069
       4284.5665       2.0685158
       4285.5532       2.0429952
       4286.5401       2.0371176
       4287.5272       1.9945715
       4288.5145       1.9729582
       4289.5021       1.9519154
       4290.4899       1.8914543
       4291.4780       1.8844559
       4292.4662       1.9615635
       4293.4547       2.0109195
       4294.4434       1.9778075
       4295.4324       1.9393754
       4296.4216       1.9455546
       4297.4110       1.9410794
       4298.4006       1.8906557
       4299.3904       1.8351937
       4300.3805       1.8155103
       4301.3708       1.7839906
       4302.3614       1.7920044
       4303.3522       1.7900038
       4304.3431       1.8182557
       4305.3344       1.8249028
       4306.3258       1.8194869
       4307.3175       1.7936216
       4308.3094       1.7756512
       4309.3016       1.7725494
       4310.2939       1.7936299
       4311.2865       1.8289184
       4312.2793       1.8846316
       4313.2724       1.9208922
       4314.2657       1.9003144
       4315.2592       1.9194542
       4316.2529       2.0077893
       4317.2469       2.0811345
       4318.2411       2.0900951
       4319.2355       2.0504968
       4320.2302       2.0136348
       4321.2251       2.0036733
       4322.2202       1.9812032
       4323.2155       1.9270511
       4324.2111       1.8867083
       4325.2069       1.8014653
       4326.2029       1.7936014
       4327.1992       1.8356416
       4328.1957       1.8475280
       4329.1924       1.8904251
       4330.1893       1.9080822
       4331.1865       1.9209087
       4332.1839       1.9166681
       4333.1816       1.8593920
       4334.1794       1.7914432
       4335.1775       1.7505754
       4336.1759       1.7263346
       4337.1744       1.6626649
       4338.1732       1.7176310
