#     WAVE         LUM1         LUM10        LUM100      LUM1000      LUM5000     LUM10000
      3541.43    0.0285846    0.0114293  0.000982940  0.000104589  1.42908e-05  6.70958e-06
      3542.25    0.0286399    0.0114312  0.000979661  0.000103266  1.39449e-05  6.52358e-06
      3543.06    0.0286449    0.0114868  0.000972746  0.000102763  1.38411e-05  6.48411e-06
      3543.88    0.0287462    0.0115882  0.000967981  0.000103757  1.41258e-05  6.72173e-06
      3544.70    0.0288415    0.0116676  0.000969578  0.000105222  1.44817e-05  6.89099e-06
      3545.51    0.0288257    0.0116825  0.000973721  0.000106178  1.47069e-05  6.98185e-06
      3546.33    0.0287370    0.0116655  0.000979069  0.000106252  1.46992e-05  6.95130e-06
      3547.14    0.0286772    0.0116656  0.000984335  0.000105469  1.44667e-05  6.79688e-06
      3547.96    0.0287895    0.0117014  0.000986226  0.000104381  1.42328e-05  6.66211e-06
      3548.78    0.0289176    0.0116883  0.000986399  0.000103814  1.41941e-05  6.66933e-06
      3549.59    0.0289461    0.0116335  0.000983851  0.000104040  1.42930e-05  6.71427e-06
      3550.41    0.0288624    0.0116105  0.000980127  0.000104610  1.43825e-05  6.74437e-06
      3551.23    0.0287223    0.0116466  0.000977764  0.000105025  1.43059e-05  6.69536e-06
      3552.05    0.0286413    0.0117093  0.000979378  0.000104866  1.39345e-05  6.49852e-06
      3552.87    0.0287512    0.0117842  0.000978397  0.000103659  1.33927e-05  6.20384e-06
      3553.69    0.0287961    0.0117591  0.000975639  0.000101930  1.29414e-05  5.92366e-06
      3554.50    0.0287348    0.0116603  0.000968102  0.000100957  1.27475e-05  5.79624e-06
      3555.32    0.0285976    0.0115605  0.000958612  0.000100810  1.28329e-05  5.85400e-06
      3556.14    0.0284494    0.0115234  0.000953416  0.000101082  1.31115e-05  6.03638e-06
      3556.96    0.0283754    0.0115198  0.000962730  0.000101446  1.33419e-05  6.11867e-06
      3557.78    0.0285365    0.0115527  0.000971724  0.000101449  1.33605e-05  6.11622e-06
      3558.60    0.0286823    0.0115693  0.000976371  0.000100878  1.32046e-05  6.00880e-06
      3559.42    0.0287459    0.0115609  0.000974986  0.000100219  1.30380e-05  5.91232e-06
      3560.24    0.0287057    0.0115288  0.000968689  9.99341e-05  1.30334e-05  5.93981e-06
      3561.06    0.0285854    0.0114837  0.000961852  0.000100341  1.33198e-05  6.15803e-06
      3561.88    0.0285841    0.0114846  0.000968628  0.000101964  1.37043e-05  6.36842e-06
      3562.70    0.0286372    0.0114816  0.000976185  0.000103664  1.40353e-05  6.55887e-06
      3563.52    0.0286205    0.0114717  0.000979284  0.000103877  1.38558e-05  6.40438e-06
      3564.34    0.0285415    0.0114382  0.000975271  0.000101699  1.30635e-05  5.93467e-06
      3565.16    0.0284605    0.0113646  0.000964147  9.69546e-05  1.17722e-05  5.29204e-06
      3565.98    0.0284501    0.0112476  0.000950024  9.06426e-05  1.02989e-05  4.55546e-06
      3566.80    0.0284822    0.0112174  0.000948939  8.79550e-05  9.92925e-06  4.35766e-06
      3567.62    0.0284398    0.0112652  0.000953690  8.74925e-05  1.00750e-05  4.44076e-06
      3568.44    0.0284467    0.0113386  0.000959798  8.78126e-05  1.02644e-05  4.48787e-06
      3569.27    0.0284765    0.0113839  0.000962998  8.79014e-05  1.02148e-05  4.37234e-06
      3570.09    0.0283794    0.0113607  0.000960053  8.73066e-05  9.87831e-06  4.16262e-06
      3570.91    0.0281331    0.0112898  0.000952252  8.63536e-05  9.59875e-06  4.03750e-06
      3571.73    0.0276161    0.0110880  0.000935777  8.63291e-05  9.72202e-06  4.11960e-06
      3572.56    0.0272870    0.0109167  0.000919289  8.68299e-05  1.01626e-05  4.45453e-06
      3573.38    0.0271293    0.0107972  0.000910004  8.73722e-05  1.06620e-05  4.82531e-06
      3574.20    0.0270390    0.0107336  0.000909423  8.77578e-05  1.10563e-05  5.07858e-06
      3575.02    0.0269721    0.0107582  0.000910112  8.83392e-05  1.14322e-05  5.29057e-06
      3575.85    0.0269710    0.0108044  0.000912028  8.89161e-05  1.17642e-05  5.39866e-06
      3576.67    0.0270739    0.0109006  0.000913472  8.94302e-05  1.18936e-05  5.40267e-06
      3577.49    0.0271181    0.0109341  0.000914261  8.98886e-05  1.17194e-05  5.24709e-06
      3578.32    0.0270598    0.0108862  0.000912664  9.01835e-05  1.13035e-05  4.95707e-06
      3579.14    0.0269373    0.0108040  0.000907456  8.99751e-05  1.07068e-05  4.56513e-06
      3579.97    0.0268373    0.0107838  0.000901808  8.82432e-05  9.63145e-06  3.94830e-06
      3580.79    0.0268889    0.0107800  0.000898256  8.52019e-05  8.74788e-06  3.52591e-06
      3581.61    0.0269961    0.0108151  0.000894989  8.27253e-05  8.24633e-06  3.26910e-06
      3582.44    0.0270349    0.0108349  0.000892810  8.15697e-05  8.17636e-06  3.26766e-06
      3583.26    0.0269684    0.0108033  0.000892478  8.14354e-05  8.40182e-06  3.43724e-06
      3584.09    0.0268583    0.0107263  0.000894002  8.11286e-05  8.62926e-06  3.54276e-06
      3584.92    0.0268392    0.0107264  0.000894169  7.95675e-05  8.51617e-06  3.49511e-06
      3585.74    0.0268317    0.0107240  0.000895652  7.67697e-05  8.18082e-06  3.39082e-06
      3586.57    0.0268286    0.0107218  0.000895064  7.46933e-05  7.96809e-06  3.31859e-06
      3587.39    0.0268017    0.0107121  0.000891553  7.41058e-05  8.05388e-06  3.39772e-06
      3588.22    0.0267236    0.0106787  0.000886948  7.51214e-05  8.44496e-06  3.65044e-06
      3589.04    0.0265877    0.0106053  0.000885876  7.73000e-05  8.96333e-06  3.94771e-06
      3589.87    0.0266952    0.0106960  0.000886107  8.09142e-05  9.96281e-06  4.52536e-06
      3590.70    0.0268756    0.0107837  0.000891984  8.50187e-05  1.09431e-05  5.02292e-06
      3591.52    0.0269228    0.0107729  0.000898751  8.89866e-05  1.17984e-05  5.48196e-06
      3592.35    0.0268309    0.0106988  0.000903137  9.20066e-05  1.23530e-05  5.77880e-06
      3593.18    0.0266980    0.0106374  0.000904246  9.36595e-05  1.25274e-05  5.82807e-06
      3594.01    0.0266585    0.0106231  0.000905406  9.46816e-05  1.25380e-05  5.79852e-06
      3594.83    0.0267060    0.0106523  0.000906636  9.55844e-05  1.28480e-05  5.92506e-06
      3595.66    0.0267107    0.0107230  0.000910680  9.74857e-05  1.33442e-05  6.18430e-06
      3596.49    0.0266607    0.0107688  0.000915575  0.000100033  1.39340e-05  6.54667e-06
      3597.32    0.0266222    0.0107955  0.000919571  0.000102480  1.44372e-05  6.87426e-06
      3598.15    0.0266750    0.0108471  0.000921801  0.000104194  1.47186e-05  7.04065e-06
      3598.97    0.0267896    0.0109413  0.000923500  0.000105631  1.49772e-05  7.18377e-06
      3599.80    0.0269026    0.0109774  0.000924447  0.000106378  1.52651e-05  7.36773e-06
      3600.63    0.0270427    0.0109593  0.000923174  0.000105679  1.53194e-05  7.40654e-06
      3601.46    0.0270869    0.0109287  0.000920337  0.000103411  1.49045e-05  7.18167e-06
      3602.29    0.0270517    0.0109129  0.000917658  9.98196e-05  1.40637e-05  6.74164e-06
      3603.12    0.0270401    0.0109136  0.000916633  9.55463e-05  1.30684e-05  6.24331e-06
      3603.95    0.0269322    0.0108889  0.000914468  9.22450e-05  1.22161e-05  5.72975e-06
      3604.78    0.0269110    0.0108905  0.000910638  9.10520e-05  1.18029e-05  5.45884e-06
      3605.61    0.0269351    0.0108681  0.000909492  9.14831e-05  1.17024e-05  5.34825e-06
      3606.44    0.0269591    0.0108555  0.000911801  9.29847e-05  1.16917e-05  5.30396e-06
      3607.27    0.0269587    0.0108602  0.000915882  9.42005e-05  1.15823e-05  5.21939e-06
      3608.10    0.0269393    0.0108547  0.000918653  9.34222e-05  1.12676e-05  5.00371e-06
      3608.93    0.0269303    0.0108412  0.000920356  9.11278e-05  1.06691e-05  4.63713e-06
      3609.76    0.0269801    0.0108686  0.000921045  8.90083e-05  1.04089e-05  4.52781e-06
      3610.60    0.0270172    0.0109404  0.000920234  8.85842e-05  1.06032e-05  4.64478e-06
      3611.43    0.0269826    0.0110138  0.000920230  8.97821e-05  1.12162e-05  5.02217e-06
      3612.26    0.0269194    0.0110442  0.000921227  9.14710e-05  1.19427e-05  5.49888e-06
      3613.09    0.0269539    0.0110102  0.000920702  9.20264e-05  1.23184e-05  5.74863e-06
      3613.92    0.0269128    0.0109805  0.000920264  9.23430e-05  1.26406e-05  5.95495e-06
      3614.75    0.0267852    0.0109458  0.000926243  9.42661e-05  1.30656e-05  6.21685e-06
      3615.59    0.0266736    0.0108664  0.000932350  9.72711e-05  1.35564e-05  6.46927e-06
      3616.42    0.0266554    0.0108039  0.000935805  9.97296e-05  1.36967e-05  6.46679e-06
      3617.25    0.0267348    0.0107929  0.000936987  9.98075e-05  1.31888e-05  6.10338e-06
      3618.09    0.0268359    0.0108084  0.000938510  9.61879e-05  1.20436e-05  5.49661e-06
      3618.92    0.0269515    0.0108919  0.000934715  9.04983e-05  1.04311e-05  4.54610e-06
      3619.75    0.0271116    0.0110496  0.000930890  8.80909e-05  9.99626e-06  4.35564e-06
      3620.59    0.0271327    0.0111234  0.000929795  8.90114e-05  1.04267e-05  4.60604e-06
      3621.42    0.0271195    0.0111591  0.000931095  9.26256e-05  1.14850e-05  5.19655e-06
      3622.25    0.0272010    0.0112160  0.000936239  9.73268e-05  1.27352e-05  5.92171e-06
      3623.09    0.0274036    0.0112943  0.000948660  0.000100909  1.36104e-05  6.44943e-06
      3623.92    0.0273902    0.0112921  0.000958290  0.000102702  1.42425e-05  6.78586e-06
      3624.76    0.0272772    0.0112707  0.000960554  0.000104638  1.47869e-05  7.07760e-06
      3625.59    0.0272002    0.0112643  0.000962612  0.000107675  1.56108e-05  7.52466e-06
      3626.43    0.0272157    0.0112779  0.000965537  0.000111535  1.65689e-05  8.04255e-06
